method,variant,coreset_file,seed,selected_episodes,train_frames,val_frames,test_frames,best_epoch,best_val_normalized_mse,val_normalized_mse,val_normalized_action_0_mse,val_normalized_action_1_mse,val_normalized_action_2_mse,val_normalized_action_3_mse,val_normalized_action_4_mse,val_normalized_action_5_mse,val_normalized_action_6_mse,test_normalized_mse,test_normalized_action_0_mse,test_normalized_action_1_mse,test_normalized_action_2_mse,test_normalized_action_3_mse,test_normalized_action_4_mse,test_normalized_action_5_mse,test_normalized_action_6_mse,val_original_mse,val_original_action_0_mse,val_original_action_1_mse,val_original_action_2_mse,val_original_action_3_mse,val_original_action_4_mse,val_original_action_5_mse,val_original_action_6_mse,test_original_mse,test_original_action_0_mse,test_original_action_1_mse,test_original_action_2_mse,test_original_action_3_mse,test_original_action_4_mse,test_original_action_5_mse,test_original_action_6_mse
ablation_action_delta_only,action_delta_only,data/coresets/ablation_action_delta_only_top5.json,0,30 36 20 25 8,2000,2000,2000,36,0.37739548087120056,0.37700918316841125,1.2062205076217651,0.047267600893974304,0.04451541602611542,0.6572514772415161,0.18769250810146332,0.23165345191955566,0.26446333527565,0.3625783324241638,0.9094448089599609,0.11336320638656616,0.13848057389259338,0.6110395193099976,0.12223096191883087,0.25752338767051697,0.38596582412719727,0.005369634833186865,0.00011089899635408074,0.003997631371021271,0.0011387357953935862,0.0014721481129527092,0.005551951006054878,0.002091367030516267,0.023224713280797005,0.007773953955620527,8.361355867236853e-05,0.009587614797055721,0.0035424313973635435,0.00136863742955029,0.003615587018430233,0.0023249213118106127,0.033894870430231094
ablation_action_delta_only,action_delta_only,data/coresets/ablation_action_delta_only_top5.json,1,30 36 20 25 8,2000,2000,2000,27,0.3807477802038193,0.38018685579299927,1.1310629844665527,0.04496883600950241,0.056613437831401825,0.7073405385017395,0.196747824549675,0.21964910626411438,0.30492541193962097,0.34212547540664673,0.8498055934906006,0.08710751682519913,0.145377978682518,0.4934391677379608,0.10792023688554764,0.2952399253845215,0.4159877598285675,0.0059315115213394165,0.00010398917220300063,0.0038032177835702896,0.0014482138212770224,0.001584340468980372,0.0058198003098368645,0.0019829897210001945,0.026778029277920723,0.007808331865817308,7.81304988777265e-05,0.007367055397480726,0.0037188727874308825,0.0011052314657717943,0.0031922757625579834,0.0026654244866222143,0.03653133288025856
ablation_action_delta_only,action_delta_only,data/coresets/ablation_action_delta_only_top5.json,2,30 36 20 25 8,2000,2000,2000,25,0.3570909649133682,0.3565247058868408,0.9490030407905579,0.043157316744327545,0.05978469178080559,0.7060321569442749,0.1996506303548813,0.21212157607078552,0.325923353433609,0.34090736508369446,0.8091803193092346,0.09413859248161316,0.1500801295042038,0.47497469186782837,0.11031495779752731,0.31067630648612976,0.4369865655899048,0.006184395868331194,8.725064981263131e-05,0.0036500042770057917,0.0015293386531993747,0.0015814104117453098,0.005905668251216412,0.0019150304142385721,0.028622066602110863,0.008197496645152569,7.439553883159533e-05,0.00796172022819519,0.0038391489069908857,0.0010638739913702011,0.00326311937533319,0.002804783871397376,0.03837543725967407
ablation_action_delta_only,action_delta_only,data/coresets/ablation_action_delta_only_top5.json,3,30 36 20 25 8,2000,2000,2000,29,0.38086359202861786,0.38009175658226013,1.0427879095077515,0.0418742336332798,0.05871845781803131,0.7431705594062805,0.21572966873645782,0.21632933616638184,0.34203222393989563,0.3379015028476715,0.7995322346687317,0.0855855867266655,0.17024250328540802,0.47996050119400024,0.12813371419906616,0.25229084491729736,0.44956496357917786,0.0064535741694271564,9.587350359652191e-05,0.0035414863377809525,0.001502060447819531,0.0016645935829728842,0.006381285842508078,0.001953020808286965,0.030036699026823044,0.008327116258442402,7.350851956289262e-05,0.007238367572426796,0.004354941193014383,0.001075042295269668,0.0037901971954852343,0.0022776799742132425,0.03948007524013519
ablation_action_delta_only,action_delta_only,data/coresets/ablation_action_delta_only_top5.json,4,30 36 20 25 8,2000,2000,2000,29,0.33705101907253265,0.33643364906311035,0.8816392421722412,0.03827623650431633,0.0761183574795723,0.6522091031074524,0.18104387819766998,0.21219834685325623,0.31355053186416626,0.3592815697193146,0.7908995747566223,0.07501152902841568,0.1778571456670761,0.6040167212486267,0.11501838266849518,0.26283180713653564,0.4893357753753662,0.0059332470409572124,8.105714368866757e-05,0.003237188095226884,0.001947167795151472,0.0014608540805056691,0.005355275701731443,0.0019157221540808678,0.027535464614629745,0.008723885752260685,7.271483627846465e-05,0.006344065070152283,0.004549725446850061,0.0013529097195714712,0.0034022494219243526,0.002372842514887452,0.04297269135713577
ablation_visual_delta_only,visual_delta_only,data/coresets/ablation_visual_delta_only_top5.json,0,37 0 33 18 20,2000,2000,2000,22,0.2819611504673958,0.27997538447380066,0.4942167103290558,0.05017594248056412,0.06073352321982384,0.42692136764526367,0.18619966506958008,0.3914793133735657,0.35010117292404175,0.3415488302707672,0.5578540563583374,0.11390669643878937,0.13632619380950928,0.3728029131889343,0.11674792319536209,0.6545926928520203,0.43861135840415955,0.006933477707207203,7.793711847625673e-05,0.004593983758240938,0.0018130486132577062,0.0014383967500180006,0.0043158624321222305,0.0021775478962808847,0.03411756828427315,0.009276109747588634,8.797254122328013e-05,0.01042903121560812,0.004069686867296696,0.0012560588074848056,0.002706067403778434,0.0036410789471119642,0.04274287447333336
ablation_visual_delta_only,visual_delta_only,data/coresets/ablation_visual_delta_only_top5.json,1,37 0 33 18 20,2000,2000,2000,22,0.2949065715074539,0.2927992045879364,0.5777972936630249,0.04645431786775589,0.07044077664613724,0.40833044052124023,0.2063359171152115,0.366657018661499,0.3735787272453308,0.35014238953590393,0.5859354734420776,0.0987517461180687,0.13771411776542664,0.4114454388618469,0.1122063398361206,0.6439417600631714,0.46100178360939026,0.007292926777154207,9.111776307690889e-05,0.004253240767866373,0.0021028365008533,0.0013757607666775584,0.004782605450600386,0.00203947932459414,0.036405447870492935,0.00939125008881092,9.240110375685617e-05,0.009041458368301392,0.004111116286367178,0.0013862558407709002,0.0026008007116615772,0.003581835888326168,0.04492488503456116
ablation_visual_delta_only,visual_delta_only,data/coresets/ablation_visual_delta_only_top5.json,2,37 0 33 18 20,2000,2000,2000,26,0.28150229901075363,0.2794787287712097,0.5386778116226196,0.04951760545372963,0.06086447462439537,0.3976671099662781,0.1912783533334732,0.39329764246940613,0.32504817843437195,0.34673207998275757,0.5702402591705322,0.09751196950674057,0.13210272789001465,0.4417567253112793,0.11089512705802917,0.6573227643966675,0.41729506850242615,0.006581832189112902,8.494858775520697e-05,0.00453371973708272,0.0018169601680710912,0.0013398315059021115,0.004433594644069672,0.0021876634564250708,0.03167610988020897,0.008763168938457966,8.992607763502747e-05,0.008927956223487854,0.003943604417145252,0.001488379668444395,0.002570405136793852,0.0036562648601830006,0.0406656414270401
ablation_visual_delta_only,visual_delta_only,data/coresets/ablation_visual_delta_only_top5.json,3,37 0 33 18 20,2000,2000,2000,33,0.28698406368494034,0.28477245569229126,0.5543436408042908,0.04215000197291374,0.04830414801836014,0.458057165145874,0.19390085339546204,0.37061208486557007,0.32603928446769714,0.33641916513442993,0.6290919184684753,0.07734085619449615,0.12241911143064499,0.46196839213371277,0.09449131786823273,0.5606536865234375,0.40896883606910706,0.006465780548751354,8.741923375055194e-05,0.003859154647216201,0.0014420012012124062,0.0015432985965162516,0.0044943792745471,0.0020614771638065577,0.031772732734680176,0.008222050964832306,9.92069544736296e-05,0.007081151939928532,0.0036545160692185163,0.0015564790228381753,0.002190191065892577,0.003118554363027215,0.0398542582988739
ablation_visual_delta_only,visual_delta_only,data/coresets/ablation_visual_delta_only_top5.json,4,37 0 33 18 20,2000,2000,2000,29,0.28366123884916306,0.28148701786994934,0.5296366214752197,0.04474376514554024,0.053185682743787766,0.4585423171520233,0.20403032004833221,0.38524582982063293,0.2950246334075928,0.3415178954601288,0.6158532500267029,0.08937511593103409,0.12759144604206085,0.45331504940986633,0.127925843000412,0.5452147722244263,0.4313497543334961,0.00613359734416008,8.352287841262296e-05,0.004096632823348045,0.0015877271071076393,0.001544934930279851,0.004729162435978651,0.002142873127013445,0.028750328347086906,0.008807070553302765,9.711912571219727e-05,0.008182975463569164,0.003808927722275257,0.001527321757748723,0.002965158550068736,0.003032681765034795,0.0420353077352047
