method,phase_bin,phase_label,num_frames,mse_mean,mse_std
PC-RAS,0,0-20%,400,0.0006420771242119372,0.00021361023639443277
PC-RAS,1,20-40%,400,0.001033265539444983,0.0002855927425478176
PC-RAS,2,40-60%,400,0.009618237987160683,0.0016094216936914526
PC-RAS,3,60-80%,400,0.011789235845208168,0.003002171215507644
PC-RAS,4,80-100%,400,0.00618815328925848,0.0029589540702436613
Random-10%,0,0-20%,400,0.0006681324332021177,0.00016387788885831162
Random-10%,1,20-40%,400,0.0013435198110528291,0.0002865725364986489
Random-10%,2,40-60%,400,0.009873740002512931,0.0012749134563909315
Random-10%,3,60-80%,400,0.013404966704547406,0.0022818215265856916
Random-10%,4,80-100%,400,0.007532107178121805,0.0022502870556752362
